the_geom,postcode,id,name,building_name,street_name,suburb,state,cartodb_id,address,phone_number,latitude,longitude,active,ticket_types_sold,comments,opal_id
0101000020E61000006B3C01E208DA62401363061B780C41C0,2560,40921,Quick Stop Food Store,,24 Woodland Rd,St Helens Park,NSW,1649,"24 Woodland Rd, St Helens Park, NSW 2560",02 4628 5344,-34.097415331,150.81358433,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,40921
0101000020E61000006F696FCFA7E262406E1C9A7A29F240C0,2136,40930,Jin Jie Ao,,484 Liverpool Rd,Strathfield South,NSW,1650,"484 Liverpool Rd, Strathfield South NSW 2136",,-33.891890836,151.082984655,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,40930
0101000020E6100000F8FEC9892DE56240859CCE8000E240C0,2071,40966,Hot Ink Line,Killara Station,Culworth Ave,Killara,NSW,1651,"Killara Station, Culworth Ave Killara NSW 2071 ",,-33.765640355,151.161808867,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,40966
0101000020E6100000A59B69678DEF62407D4960FCFF8D40C0,2264,40996,Cignall Morisset,"Shop T10, Woolworths Centre",Cnr Doyalson & Dora St,Morisset,NSW,1652,"Woolworths Centre, Cnr Doyalson & Dora St, Morisset NSW 2264",,-33.109374568,151.486011225,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,40996
0101000020E61000007804658A71E86240F5CDE43883E540C0,2093,41001,Coles Balgowlah,Stockland Balgowlah,197 - 215 Condamine St ,Balgowlah,NSW,1653,"Stockland Balgowlah, 197 - 215 Condamine St , Balgowlah NSW 2093",02 8668 8222,-33.793067085,151.263859937,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41001
0101000020E61000003C5E092324EF6240DB557DEB19B040C0,2261,41003,Coles Bateau Bay,Bay Village Shopping Centre,The Entrance Rd,Bateau Bay,NSW,1654,"The Entrance Rd, Bateau Bay NSW 2261",,-33.375791012,151.473161238,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41003
0101000020E6100000F4AB275DA4B2624043C2A1FE4DB540C0,2795,41005,Coles Bathurst,,41 William St,Bathurst,NSW,1655,"41 William St, Bathurst NSW 2795",,-33.416442708,149.582563951,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41005
0101000020E610000045C1E7E20AF16240661767672C8E40C0,2264,41014,Coles Bonnells Bay,,330 Fishery Point Rd,Bonnells Bay,NSW,1656,"330 Fishery Point Rd, Bonnells Bay NSW 2264",02 4973 7800,-33.1107301,151.5325789,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41014
0101000020E6100000E085FE20BAF16240ACE13993EA9D40C0,2262,41018,Coles Budgewoi,,Cnr Scenic Dr & Noela Pl,Budgewoi,NSW,1657,"Cnr Scenic Dr & Noela Pl, Budgewoi NSW 2262",,-33.233721164,151.553970811,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41018
0101000020E6100000D46BB5B23DDA6240963A265D430641C0,2560,41078,Woodbine Neighbourhood Store,,52 North Steyne Rd,WOODBINE,NSW,1658,"52 North Steyne Rd, Woodbine NSW 2560",,-34.048930782,150.820031504,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41078
0101000020E6100000EB94E40C67E46240F2CE979AE1F340C0,2203,41118,Yaghis Fast Food,,502 New Canturbury Rd,Dulwich Hill,NSW,1659,"502 New Canturbury Rd, Dulwich Hill NSW 2203",02 9564 2948,-33.905322384,151.13757939,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41118
0101000020E610000038E0C0D2C3EE62407F66C949CCAE40C0,2261,41189,Coles Killarney Vale,,Cnr Wyong Rd & South St,Killarney Vale,NSW,1660,,02 4332 7492,-33.365609382,151.461404206,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41189
