mode,date,tap,time,count
bus,20160808,off,08:15,35265
bus,20160808,off,11:00,9508
bus,20160808,off,02:15,156
bus,20160808,off,22:00,2080
bus,20160808,off,17:15,18345
bus,20160808,off,10:30,10528
bus,20160808,off,15:30,22850
bus,20160808,off,14:45,13920
bus,20160808,off,00:30,267
bus,20160808,off,19:30,7243
bus,20160808,off,06:15,4849
bus,20160808,off,01:45,142
bus,20160808,off,16:45,16543
bus,20160808,off,11:15,9843
bus,20160808,off,09:15,16202
bus,20160808,off,22:15,2013
bus,20160808,off,21:45,2556
bus,20160809,on,02:30,173
bus,20160809,on,13:30,11438
bus,20160809,on,15:15,29562
bus,20160809,on,12:45,10923
bus,20160809,on,00:00,457
bus,20160809,on,16:30,18600
bus,20160809,on,04:45,748
bus,20160809,on,03:45,126
bus,20160809,on,19:45,5094
bus,20160809,on,01:30,230
bus,20160809,on,07:15,25234
bus,20160809,on,09:00,15960
bus,20160809,on,18:45,10552
bus,20160809,on,11:30,10025
bus,20160809,on,20:15,4155
bus,20160809,on,00:15,329
bus,20160809,on,13:00,11897
bus,20160809,on,02:45,112
bus,20160809,on,23:30,726
bus,20160809,on,17:45,20390
bus,20160809,on,10:45,9714
bus,20160809,on,05:15,1996
bus,20160809,on,20:00,4773
bus,20160809,on,12:30,10766
bus,20160809,on,07:00,18426
bus,20160809,on,14:15,13292
bus,20160809,on,08:45,19988
bus,20160809,on,23:45,650
bus,20160809,on,-1,137
bus,20160809,on,13:15,10958
bus,20160809,on,11:45,9581
bus,20160809,on,22:45,1480
bus,20160809,on,05:00,1223
bus,20160809,on,16:15,18232
bus,20160809,on,01:15,132
bus,20160809,on,14:00,12271
bus,20160809,on,21:15,3404
bus,20160809,on,07:30,33082
bus,20160809,on,06:30,9675
bus,20160809,on,01:00,242
bus,20160809,on,15:00,27323
bus,20160809,on,16:00,19984
bus,20160809,on,23:15,1026
bus,20160809,on,12:15,10599
bus,20160809,on,21:00,3874
bus,20160809,on,04:30,406
bus,20160809,on,05:30,2788
bus,20160809,on,03:15,104
bus,20160809,on,14:30,15669
bus,20160809,on,18:15,16525
bus,20160809,on,06:45,12407
bus,20160809,on,19:00,9126
bus,20160809,on,12:00,10659
bus,20160809,on,09:45,10719
bus,20160809,on,23:00,1070
bus,20160809,on,00:45,242
bus,20160809,on,04:00,123
bus,20160809,on,17:30,21562
bus,20160809,on,10:15,10246
bus,20160809,on,08:30,28638
bus,20160809,on,03:00,146
bus,20160809,on,21:30,2907
bus,20160809,on,15:45,20590
bus,20160809,on,18:00,19642
bus,20160809,on,20:30,3897
bus,20160809,on,19:15,7149
bus,20160809,on,08:00,38445
bus,20160809,on,02:00,146
bus,20160809,on,13:45,10751
bus,20160809,on,17:00,22503
bus,20160809,on,09:30,12552
bus,20160809,on,22:30,1555
bus,20160809,on,04:15,48
bus,20160809,on,03:30,103
bus,20160809,on,10:00,10424
bus,20160809,on,18:30,13581
bus,20160809,on,20:45,3521
bus,20160809,on,07:45,37482
bus,20160809,on,06:00,5674
bus,20160809,on,05:45,3995
bus,20160809,on,08:15,34956
bus,20160809,on,11:00,10041
bus,20160809,on,02:15,148
bus,20160809,on,22:00,2321
bus,20160809,on,17:15,22397
bus,20160809,on,10:30,10342
bus,20160809,on,15:30,27602
bus,20160809,on,14:45,17552
bus,20160809,on,00:30,317
bus,20160809,on,19:30,5892
bus,20160809,on,06:15,7311
bus,20160809,on,01:45,139
bus,20160809,on,16:45,18123
bus,20160809,on,11:15,9888
bus,20160809,on,09:15,13830
bus,20160809,on,22:15,2094
bus,20160809,on,21:45,2620
bus,20160809,off,02:30,157
bus,20160809,off,13:30,10767
bus,20160809,off,15:15,21674
bus,20160809,off,12:45,10555
bus,20160809,off,00:00,548
bus,20160809,off,16:30,17082
bus,20160809,off,04:45,392
bus,20160809,off,03:45,110
bus,20160809,off,19:45,6042
bus,20160809,off,01:30,209
bus,20160809,off,07:15,13734
bus,20160809,off,09:00,21728
bus,20160809,off,18:45,15561
bus,20160809,off,11:30,9528
bus,20160809,off,20:15,4414
bus,20160809,off,00:15,413
bus,20160809,off,13:00,10223
bus,20160809,off,02:45,152
bus,20160809,off,23:30,828
bus,20160809,off,17:45,20699
bus,20160809,off,10:45,10033
bus,20160809,off,05:15,1227
bus,20160809,off,20:00,5252
bus,20160809,off,12:30,10357
bus,20160809,off,07:00,10416
bus,20160809,off,14:15,11202
bus,20160809,off,08:45,31437
bus,20160809,off,23:45,832
bus,20160809,off,-1,58670
bus,20160809,off,13:15,10621
bus,20160809,off,11:45,9561
bus,20160809,off,22:45,1590
bus,20160809,off,05:00,744
bus,20160809,off,16:15,18647
bus,20160809,off,01:15,197
bus,20160809,off,14:00,10292
bus,20160809,off,21:15,3566
bus,20160809,off,07:30,20284
bus,20160809,off,06:30,6734
bus,20160809,off,01:00,205
bus,20160809,off,15:00,16343
bus,20160809,off,16:00,20141
bus,20160809,off,23:15,1216
bus,20160809,off,12:15,9969
bus,20160809,off,21:00,3523
bus,20160809,off,04:30,158
bus,20160809,off,05:30,1842
bus,20160809,off,03:15,156
bus,20160809,off,14:30,12541
bus,20160809,off,18:15,20347
bus,20160809,off,06:45,8917
bus,20160809,off,19:00,12310
bus,20160809,off,12:00,9395
bus,20160809,off,09:45,13160
bus,20160809,off,23:00,1320
bus,20160809,off,00:45,250
bus,20160809,off,04:00,128
bus,20160809,off,17:30,19883
bus,20160809,off,10:15,9736
bus,20160809,off,08:30,36458
bus,20160809,off,03:00,114
bus,20160809,off,21:30,3196
bus,20160809,off,15:45,22726
bus,20160809,off,18:00,20677
bus,20160809,off,20:30,4295
bus,20160809,off,19:15,9980
bus,20160809,off,08:00,31612
bus,20160809,off,02:00,127
bus,20160809,off,13:45,10812
bus,20160809,off,17:00,17137
bus,20160809,off,09:30,14465
bus,20160809,off,22:30,1973
bus,20160809,off,04:15,164
bus,20160809,off,03:30,108
bus,20160809,off,10:00,10298
bus,20160809,off,18:30,18222
bus,20160809,off,20:45,3739
bus,20160809,off,07:45,25971
bus,20160809,off,06:00,3574
bus,20160809,off,05:45,2777
bus,20160809,off,08:15,36057
bus,20160809,off,11:00,9322
bus,20160809,off,02:15,199
bus,20160809,off,22:00,2604
bus,20160809,off,17:15,18059
bus,20160809,off,10:30,10187
bus,20160809,off,15:30,22588
bus,20160809,off,14:45,13905
bus,20160809,off,00:30,336
bus,20160809,off,19:30,7652
bus,20160809,off,06:15,5122
bus,20160809,off,01:45,143
bus,20160809,off,16:45,16915
bus,20160809,off,11:15,9563
bus,20160809,off,09:15,16069
bus,20160809,off,22:15,2426
bus,20160809,off,21:45,2897
bus,20160814,on,02:30,133
bus,20160814,on,13:30,7132
bus,20160814,on,15:15,7980
bus,20160814,on,12:45,6809
bus,20160814,on,00:00,261
bus,20160814,on,16:30,7611
bus,20160814,on,04:45,111
bus,20160814,on,03:45,132
bus,20160814,on,19:45,2380
bus,20160814,on,01:30,143
bus,20160814,on,07:15,1564
bus,20160814,on,09:00,5395
bus,20160814,on,18:45,4063
bus,20160814,on,11:30,7135
bus,20160814,on,20:15,1863
bus,20160814,on,00:15,240
bus,20160814,on,13:00,6811
bus,20160814,on,02:45,91
bus,20160814,on,23:30,452
bus,20160814,on,17:45,6099
bus,20160814,on,10:45,6490
bus,20160814,on,05:15,224
bus,20160814,on,20:00,2111
bus,20160814,on,12:30,7277
bus,20160814,on,07:00,1196
bus,20160814,on,14:15,7587
bus,20160814,on,08:45,4559
bus,20160814,on,23:45,375
bus,20160814,on,-1,388
bus,20160814,on,13:15,7459
bus,20160814,on,11:45,6963
bus,20160814,on,22:45,952
bus,20160814,on,05:00,150
bus,20160814,on,16:15,7650
bus,20160814,on,01:15,116
bus,20160814,on,14:00,7107
bus,20160814,on,21:15,1887
bus,20160814,on,07:30,2030
bus,20160814,on,06:30,813
bus,20160814,on,01:00,194
bus,20160814,on,15:00,7446
bus,20160814,on,16:00,7671
bus,20160814,on,23:15,652
bus,20160814,on,12:15,7057
bus,20160814,on,21:00,1828
bus,20160814,on,04:30,153
bus,20160814,on,05:30,305
bus,20160814,on,03:15,72
bus,20160814,on,14:30,7182
bus,20160814,on,18:15,5501
bus,20160814,on,06:45,763
bus,20160814,on,19:00,3340
bus,20160814,on,12:00,7088
bus,20160814,on,09:45,5899
bus,20160814,on,23:00,709
bus,20160814,on,00:45,183
bus,20160814,on,04:00,94
bus,20160814,on,17:30,6560
bus,20160814,on,10:15,6480
bus,20160814,on,08:30,4001
bus,20160814,on,03:00,138
bus,20160814,on,21:30,1681
bus,20160814,on,15:45,7770
bus,20160814,on,18:00,6066
bus,20160814,on,20:30,2214
bus,20160814,on,19:15,3171
bus,20160814,on,08:00,3040
bus,20160814,on,02:00,139
bus,20160814,on,13:45,7373
bus,20160814,on,17:00,7194
bus,20160814,on,09:30,6151
bus,20160814,on,22:30,1245
bus,20160814,on,04:15,39
bus,20160814,on,03:30,124
bus,20160814,on,10:00,6103
bus,20160814,on,18:30,4583
bus,20160814,on,20:45,1673
bus,20160814,on,07:45,2569
bus,20160814,on,06:00,518
bus,20160814,on,05:45,257
bus,20160814,on,08:15,3661
bus,20160814,on,11:00,6633
bus,20160814,on,02:15,120
bus,20160814,on,22:00,1458
bus,20160814,on,17:15,7235
bus,20160814,on,10:30,6434
bus,20160814,on,15:30,7624
bus,20160814,on,14:45,7317
bus,20160814,on,00:30,190
bus,20160814,on,19:30,2795
bus,20160814,on,06:15,629
bus,20160814,on,01:45,122
bus,20160814,on,16:45,7321
bus,20160814,on,11:15,7039
bus,20160814,on,09:15,5867
bus,20160814,on,22:15,1464
bus,20160814,on,21:45,1405
bus,20160814,off,02:30,120
bus,20160814,off,13:30,6798
bus,20160814,off,15:15,7070
bus,20160814,off,12:45,6486
bus,20160814,off,00:00,314
bus,20160814,off,16:30,7533
bus,20160814,off,04:45,183
bus,20160814,off,03:45,112
bus,20160814,off,19:45,2571
bus,20160814,off,01:30,133
bus,20160814,off,07:15,1157
bus,20160814,off,09:00,4214
bus,20160814,off,18:45,4565
bus,20160814,off,11:30,6415
bus,20160814,off,20:15,1963
bus,20160814,off,00:15,254
